method_name,report_name,backbone_type,mode,head_type,best_epoch,best_acc,modelnet_acc,scanobjectnn_acc,checkpoint
single_modelnet40,Single-dataset training on ModelNet40,dgcnn,train_modelnet_only,decoupled,46,0.8545,0.8545,,/home/zepeng/Obsidian/ComputerScience/2MVA/NPM3d/miniPPT/runs/benchmark_dgcnn_single_modelnet40/best.pt
single_scanobjectnn,Single-dataset training on ScanObjectNN,dgcnn,train_scanobjectnn_only,decoupled,46,0.7707,,0.7707,/home/zepeng/Obsidian/ComputerScience/2MVA/NPM3d/miniPPT/runs/benchmark_dgcnn_single_scanobjectnn/best.pt
joint_decoupled,"Multi-dataset joint training, Decoupled",dgcnn,train_joint_naive,decoupled,48,0.8118,0.8505,0.7732,/home/zepeng/Obsidian/ComputerScience/2MVA/NPM3d/miniPPT/runs/benchmark_dgcnn_joint_decoupled/best.pt
joint_decoupled_pdnorm,"Multi-dataset joint training, Decoupled + PDNorm",dgcnn,train_joint_pdnorm,decoupled,46,0.7943,0.8614,0.7272,/home/zepeng/Obsidian/ComputerScience/2MVA/NPM3d/miniPPT/runs/benchmark_dgcnn_joint_decoupled_pdnorm/best.pt
joint_language_guided,"Multi-dataset joint training, Lightweight Language-guided Categorical Alignment",dgcnn,train_joint_naive,language_guided,45,0.8055,0.8416,0.7693,/home/zepeng/Obsidian/ComputerScience/2MVA/NPM3d/miniPPT/runs/benchmark_dgcnn_joint_language_guided/best.pt
joint_language_guided_pdnorm,"Multi-dataset joint training, Lightweight Language-guided Categorical Alignment + PDNorm",dgcnn,train_joint_pdnorm,language_guided,48,0.7986,0.8513,0.746,/home/zepeng/Obsidian/ComputerScience/2MVA/NPM3d/miniPPT/runs/benchmark_dgcnn_joint_language_guided_pdnorm/best.pt
single_modelnet40,Single-dataset training on ModelNet40,pointnet,train_modelnet_only,decoupled,43,0.8075,0.8075,,/home/zepeng/Obsidian/ComputerScience/2MVA/NPM3d/miniPPT/runs/benchmark_pointnet_single_modelnet40/best.pt
single_scanobjectnn,Single-dataset training on ScanObjectNN,pointnet,train_scanobjectnn_only,decoupled,49,0.6617,,0.6617,/home/zepeng/Obsidian/ComputerScience/2MVA/NPM3d/miniPPT/runs/benchmark_pointnet_single_scanobjectnn/best.pt
joint_decoupled,"Multi-dataset joint training, Decoupled",pointnet,train_joint_naive,decoupled,48,0.7346,0.8055,0.6638,/home/zepeng/Obsidian/ComputerScience/2MVA/NPM3d/miniPPT/runs/benchmark_pointnet_joint_decoupled/best.pt
joint_decoupled_pdnorm,"Multi-dataset joint training, Decoupled + PDNorm",pointnet,train_joint_pdnorm,decoupled,42,0.7452,0.8213,0.669,/home/zepeng/Obsidian/ComputerScience/2MVA/NPM3d/miniPPT/runs/benchmark_pointnet_joint_decoupled_pdnorm/best.pt
joint_language_guided,"Multi-dataset joint training, Lightweight Language-guided Categorical Alignment",pointnet,train_joint_naive,language_guided,44,0.728,0.7909,0.6652,/home/zepeng/Obsidian/ComputerScience/2MVA/NPM3d/miniPPT/runs/benchmark_pointnet_joint_language_guided/best.pt
joint_language_guided_pdnorm,"Multi-dataset joint training, Lightweight Language-guided Categorical Alignment + PDNorm",pointnet,train_joint_pdnorm,language_guided,49,0.7446,0.8229,0.6662,/home/zepeng/Obsidian/ComputerScience/2MVA/NPM3d/miniPPT/runs/benchmark_pointnet_joint_language_guided_pdnorm/best.pt
